BEATRIZ%2005/06/23 0900%16.3%-109.3%51
BEATRIZ%2005/06/23 1500%16.9%-109.9%51
BEATRIZ%2005/06/23 2100%17.2%-111.0%46
BEATRIZ%2005/06/24 0300%17.2%-111.7%34
BEATRIZ%2005/06/24 0900%17.5%-112.5%28
BEATRIZ%2005/06/24 1500%17.9%-113.1%23
CALVIN%2005/06/26 2100%13.9%-98.3%34
CALVIN%2005/06/27 0300%14.1%-98.0%34
CALVIN%2005/06/27 0900%14.6%-98.4%40
CALVIN%2005/06/27 1500%14.8%-99.5%51
CALVIN%2005/06/27 2100%15.4%-100.9%51
CALVIN%2005/06/28 0300%15.8%-101.6%40
CALVIN%2005/06/28 0900%15.9%-102.3%40
CALVIN%2005/06/28 1500%16.1%-104.2%40
CALVIN%2005/06/28 2100%15.5%-105.1%28
CALVIN%2005/06/29 0300%14.8%-105.3%23
DORA%2005/07/04 0400%14.8%-99.6%34
DORA%2005/07/04 0900%15.4%-100.0%34
DORA%2005/07/04 1500%15.9%-99.4%34
DORA%2005/07/04 2100%16.9%-100.6%40
DORA%2005/07/05 0300%17.2%-101.3%40
DORA%2005/07/05 0900%17.9%-103.3%40
DORA%2005/07/05 1500%18.3%-104.3%40
DORA%2005/07/05 2100%18.5%-105.3%34
DORA%2005/07/06 0300%18.6%-106.3%34
DORA%2005/07/06 0900%18.5%-107.4%28
EUGENE%2005/07/18 1500%15.1%-105.6%40
EUGENE%2005/07/18 2100%16.1%-105.5%46
EUGENE%2005/07/19 0300%16.8%-105.9%46
EUGENE%2005/07/19 0900%17.9%-107.2%51
EUGENE%2005/07/19 1500%19.0%-108.1%57
EUGENE%2005/07/19 2100%20.0%-109.7%69
EUGENE%2005/07/20 0300%20.4%-111.1%57
EUGENE%2005/07/20 0900%21.1%-111.0%46
EUGENE%2005/07/20 1500%21.7%-111.2%34
EUGENE%2005/07/20 2100%22.3%-111.9%28
FERNANDA%2005/08/09 1500%14.2%-115.1%34
FERNANDA%2005/08/09 2100%14.1%-115.8%34
FERNANDA%2005/08/10 0300%14.8%-116.2%46
FERNANDA%2005/08/10 0900%15.3%-117.1%46
FERNANDA%2005/08/10 1500%15.6%-118.6%63
FERNANDA%2005/08/10 2100%15.7%-119.0%69
FERNANDA%2005/08/11 0300%16.3%-120.0%69
FERNANDA%2005/08/11 0900%16.5%-120.5%74
FERNANDA%2005/08/11 1500%16.9%-121.2%74
FERNANDA%2005/08/11 2100%17.3%-121.8%80
FERNANDA%2005/08/12 0300%17.8%-122.5%80
FERNANDA%2005/08/12 0900%18.1%-123.1%80
FERNANDA%2005/08/12 1500%18.5%-123.9%86
FERNANDA%2005/08/12 2100%18.7%-124.8%86
FERNANDA%2005/08/13 0300%18.9%-125.6%86
FERNANDA%2005/08/13 0900%19.2%-126.4%80
FERNANDA%2005/08/13 1500%19.2%-127.1%80
FERNANDA%2005/08/13 2100%19.3%-127.9%74
FERNANDA%2005/08/14 0300%19.1%-128.7%74
FERNANDA%2005/08/14 0900%18.9%-129.4%63
FERNANDA%2005/08/14 1500%18.5%-130.0%69
FERNANDA%2005/08/14 2100%18.2%-130.7%69
FERNANDA%2005/08/15 0300%17.8%-131.4%69
FERNANDA%2005/08/15 0900%17.5%-132.1%63
FERNANDA%2005/08/15 1500%17.2%-132.9%46
FERNANDA%2005/08/15 2100%17.0%-134.1%34
FERNANDA%2005/08/16 0300%17.2%-135.1%28
GREG%2005/08/11 1100%13.2%-109.8%28
GREG%2005/08/11 1500%13.6%-110.5%40
GREG%2005/08/11 2100%13.8%-110.9%46
GREG%2005/08/12 0300%13.6%-111.9%51
GREG%2005/08/12 0900%13.7%-112.6%51
GREG%2005/08/12 1500%14.3%-113.3%46
GREG%2005/08/12 2100%14.5%-113.7%46
GREG%2005/08/13 0300%14.6%-113.7%40
GREG%2005/08/13 0900%15.1%-114.2%40
GREG%2005/08/13 1500%15.4%-114.3%40
GREG%2005/08/13 2100%15.5%-114.9%40
GREG%2005/08/14 0300%15.3%-115.6%46
GREG%2005/08/14 0900%15.2%-116.1%46
GREG%2005/08/14 1500%14.5%-115.5%40
GREG%2005/08/14 2100%14.3%-115.5%34
GREG%2005/08/15 0300%14.4%-115.4%34
GREG%2005/08/15 0900%14.4%-115.9%34
GREG%2005/08/15 1500%14.0%-116.4%34
GREG%2005/08/15 2100%13.8%-116.7%28
HILARY%2005/08/19 1500%13.2%-95.6%28
HILARY%2005/08/19 2100%13.6%-97.7%28
HILARY%2005/08/20 0300%13.7%-98.9%40
HILARY%2005/08/20 0900%13.7%-100.6%46
HILARY%2005/08/20 1500%13.9%-102.1%63
HILARY%2005/08/20 2100%14.4%-103.2%63
HILARY%2005/08/21 0300%14.5%-104.7%74
HILARY%2005/08/21 0900%14.6%-105.3%80
HILARY%2005/08/21 1500%15.6%-106.1%80
HILARY%2005/08/21 2100%16.6%-107.8%86
HILARY%2005/08/21 2230%16.9%-108.2%86
HILARY%2005/08/22 0300%17.7%-109.1%103
HILARY%2005/08/22 0900%18.1%-110.7%103
HILARY%2005/08/22 1500%18.6%-112.1%103
HILARY%2005/08/22 2100%18.7%-112.8%97
HILARY%2005/08/23 0300%19.1%-113.6%92
HILARY%2005/08/23 0900%19.4%-114.6%92
HILARY%2005/08/23 1500%19.8%-115.2%80
HILARY%2005/08/23 2100%20.2%-116.2%80
HILARY%2005/08/24 0300%20.5%-116.6%74
HILARY%2005/08/24 0900%21.1%-117.5%74
HILARY%2005/08/24 1500%21.6%-118.3%74
HILARY%2005/08/24 2100%22.2%-117.9%63
HILARY%2005/08/25 0300%23.0%-118.7%51
HILARY%2005/08/25 0900%23.3%-119.5%46
HILARY%2005/08/25 1500%23.7%-120.4%40
HILARY%2005/08/25 2100%24.5%-121.2%34
IRWIN%2005/08/25 2100%17.2%-106.3%34
IRWIN%2005/08/26 0300%17.2%-107.3%34
IRWIN%2005/08/26 0900%17.5%-108.2%40
IRWIN%2005/08/26 1500%17.8%-109.2%51
IRWIN%2005/08/26 2100%17.7%-110.1%51
IRWIN%2005/08/27 0300%17.5%-111.0%51
IRWIN%2005/08/27 0900%17.5%-111.9%46
IRWIN%2005/08/27 1500%17.4%-112.6%40
IRWIN%2005/08/27 2100%17.4%-113.4%40
IRWIN%2005/08/28 0300%17.2%-114.3%34
IRWIN%2005/08/28 0900%17.1%-114.8%28
IRWIN%2005/08/28 1500%16.9%-115.5%28
